venu-cast API forecast diagnostics

Tier distribution: Counter({'maturing': 34, 'ramping': 13, 'mature_core': 12, 'mature_noncore': 6, 'new': 3})

Growth multipliers (annual, compounding monthly):
  mature_core: +5%
  mature_noncore: +3%
  maturing: +12%
  ramping: +28%
  new: +45%
  fallback: +5%

Fits:
                                     venue    stream          method        rmse      cv  n_days
169                        Yo-Chi Highgate  discount         Prophet    485.9023  1.1694    1306
170                       Yo-Chi Highpoint  discount  Prophet (291d)    506.3889  1.0962    1306
171                   Yo-Chi Indooroopilly  discount   Prophet (61d)   1239.5567  1.4422    1306
172                       Yo-Chi Karrinyup  discount         Prophet    530.7764  0.8307    1306
173                   Yo-Chi Kawana Waters  discount   Prophet (52d)    766.3929  1.6236    1306
174                       Yo-Chi Lane Cove  discount         Prophet    634.5891  2.3196    1306
175                     Yo-Chi Leederville  discount         Prophet    401.7987  0.9552    1306
176                       Yo-Chi Macquarie  discount         Prophet    606.7908  1.6092    1306
177                         Yo-Chi Malvern  discount         Prophet    468.0652  1.9013    1306
178                        Yo-Chi Mandurah  discount         Prophet    360.7409  1.1319    1306
179                           Yo-Chi Manly  discount         Prophet    508.8583  1.4892    1306
180                      Yo-Chi Mt Gravatt  discount         Prophet    394.3806  0.9616    1306
181                         Yo-Chi Newtown  discount         Prophet    388.1335  1.1541    1306
182                           Yo-Chi Noosa  discount         Prophet    331.8067  1.4345    1306
183                         Yo-Chi Norwood  discount         Prophet    748.5906  1.7885    1306
184                      Yo-Chi Paddington  discount         Prophet    502.0703  1.3943    1306
185                         Yo-Chi Penrith  discount         Prophet    404.1199  1.2130    1306
186                        Yo-Chi Prospect  discount  Prophet (312d)    368.5912  0.9994    1306
187                              Yo-Chi QV  discount  Prophet (154d)   1289.2207  1.1483    1306
188                        Yo-Chi Randwick  discount  Prophet (157d)    799.7997  1.6336    1306
189                          Yo-Chi Robina  discount         Prophet    328.9352  0.9691    1306
190                      Yo-Chi Rouse Hill  discount  Prophet (162d)    926.9238  1.5201    1306
191                       Yo-Chi Semaphore  discount         Prophet    378.8954  0.9487    1306
192                     Yo-Chi South Perth  discount         Prophet    648.3177  1.1606    1306
193                       Yo-Chi Southbank  discount   Prophet (66d)   1175.6673  2.0189    1306
194                       Yo-Chi Southland  discount  Prophet (317d)    326.2667  1.0140    1306
195                  Yo-Chi Sunshine Plaza  discount         Prophet    324.9877  1.1144    1306
196                     Yo-Chi Surry Hills  discount         Prophet    973.6636  2.3770    1306
197                  Yo-Chi Tea Tree Plaza  discount         Prophet    427.3612  0.8920    1306
198  Yo-Chi The Esplanade Surfers Paradise  discount         Prophet    321.2805  1.0885    1306
199                        Yo-Chi Top Ryde  discount  Prophet (331d)    627.3600  1.5375    1306
200                        Yo-Chi Vic Park  discount         Prophet    414.9881  0.9771    1306
201                        Yo-Chi West End  discount  Prophet (359d)    718.0655  1.6841    1306
202                   Yo-Chi Whitford City  discount         Prophet    419.6754  0.7818    1306
203                         Yo-Chi Windsor  discount         Prophet    274.7754  1.3542    1306
